numsad_int,numhaha_int,numwow_int,numangry_int,numloves_int,numlikes_int,numshares_int,MIPP,sentiment,log_length,else_leader_org,IDEO,IDEOsq,accountname,issue,party_affil
1,0,0,4,1,47,4,0.043299999237060544,-0.0423728813559,4.644391860679372,else,2.1500000953674316,8.122499465942383,125,10000,GRÜNE
30,0,0,15,24,606,102,0.15579999923706056,-0.0431472081218,5.968707815739808,else,3.200000047683716,3.239999771118164,215,10000,PILZ
2,158,3,13,3,532,105,0.06670000076293946,-0.0338983050847,4.11087550351623,leader,8.100000381469727,9.610002517700195,101,10000,FPÖ
0,4,0,0,3,62,5,0.043299999237060544,0.0434782608696,3.8286435703997754,org,2.1500000953674316,8.122499465942383,90,10000,GRÜNE
13,91,7,72,0,517,119,0.043299999237060544,0.0416666666667,3.912025005426146,else,2.1500000953674316,8.122499465942383,125,10000,GRÜNE
2,1,9,22,0,69,30,0.043299999237060544,0.047619047619,2.5649570497396432,else,2.1500000953674316,8.122499465942383,125,10000,GRÜNE
0,6,0,1,14,247,10,0.08649999618530274,0,3.258100384167932,org,3.3499999046325684,2.7225003242492676,231,10000,SPÖ
0,0,0,0,1,6,2,0.043299999237060544,0.0166666666667,4.077539138819537,org,2.1500000953674316,8.122499465942383,26,10000,GRÜNE
0,0,0,0,1,27,1,0.13664999961853028,0.0569105691057,4.820282372056325,else,6.050000190734863,1.1025004386901855,40,10000,ÖVP
1,1,3,5,0,106,12,0.21504999160766602,-0.0172413793103,4.0430530222189764,org,4.550000190734863,0.20249982178211212,179,10000,NEOS
0,0,0,0,3,74,31,0.08649999618530274,0,4.02535347644784,org,3.3499999046325684,2.7225003242492676,228,10000,SPÖ
0,0,0,0,0,5,0,0.21504999160766602,0.454545454545,2.4849149830866115,org,4.550000190734863,0.20249982178211212,175,10000,NEOS
7,46,2,0,1,45,13,0.043299999237060544,0.00980392156863,4.56434923313396,else,2.1500000953674316,8.122499465942383,125,10000,GRÜNE
0,0,0,0,0,4,0,0.08649999618530274,0.00877192982456,4.744932997928089,else,3.3499999046325684,2.7225003242492676,248,10000,SPÖ
0,0,0,0,0,30,0,0.13664999961853028,0.0277777777778,3.7841919066429512,else,6.050000190734863,1.1025004386901855,193,10000,ÖVP
0,0,0,0,0,27,2,0.13664999961853028,0,3.663564210228923,org,6.050000190734863,1.1025004386901855,189,10000,ÖVP
0,0,0,0,1,67,18,0.08649999618530274,0.117647058824,2.6390644724468912,org,3.3499999046325684,2.7225003242492676,221,10000,SPÖ
0,1,0,0,0,9,0,0.06670000076293946,0,1.7917761357558344,org,8.100000381469727,9.610002517700195,71,10000,FPÖ
1,2,2,2,8,346,52,0.043299999237060544,-0.0133333333333,4.317489446868755,org,2.1500000953674316,8.122499465942383,47,10000,GRÜNE
0,0,0,0,1,64,11,0.13664999961853028,0.063829787234,3.8066647119900727,org,6.050000190734863,1.1025004386901855,23,10000,ÖVP
0,0,0,0,0,9,0,0.043299999237060544,0.129032258065,3.433990430286395,else,2.1500000953674316,8.122499465942383,105,10000,GRÜNE
0,0,0,0,0,44,5,0.08649999618530274,-0.0263157894737,3.663564210228923,else,3.3499999046325684,2.7225003242492676,220,10000,SPÖ
1,0,1,3,4,179,35,0.21504999160766602,0.0408163265306,3.8501497293673697,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,0,0,1,54,0,0.043299999237060544,0,3.5835217162300297,org,2.1500000953674316,8.122499465942383,50,10000,GRÜNE
0,0,0,0,2,71,3,0.06670000076293946,0.166666666667,1.945924434667559,else,8.100000381469727,9.610002517700195,158,10000,FPÖ
0,0,0,0,1,48,3,0.13664999961853028,0,4.488637493327015,else,6.050000190734863,1.1025004386901855,191,10000,ÖVP
0,1,0,0,1,65,6,0.13664999961853028,-0.08,3.912025005426146,else,6.050000190734863,1.1025004386901855,191,10000,ÖVP
0,3,0,0,0,51,5,0.06670000076293946,0.0112359550562,4.510860605417345,org,8.100000381469727,9.610002517700195,68,10000,FPÖ
